Region 82 Avg IOU: 0.587600, Class: 0.943842, Obj: 0.076592, No Obj: 0.000337, .5R: 0.750000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.668932, Class: 0.957300, Obj: 0.167769, No Obj: 0.000167, .5R: 1.000000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: 0.700675, Class: 0.939671, Obj: 0.038861, No Obj: 0.000049, .5R: 0.666667, .75R: 0.666667,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000119, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.728915, Class: 0.869929, Obj: 0.385885, No Obj: 0.000229, .5R: 1.000000, .75R: 0.571429,  count: 7
Region 106 Avg IOU: 0.815596, Class: 0.945480, Obj: 0.069510, No Obj: 0.000034, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000118, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.640080, Class: 0.823108, Obj: 0.210507, No Obj: 0.000221, .5R: 0.750000, .75R: 0.250000,  count: 8
Region 106 Avg IOU: 0.793976, Class: 0.770599, Obj: 0.002352, No Obj: 0.000028, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.657488, Class: 0.927704, Obj: 0.004839, No Obj: 0.000158, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 94 Avg IOU: 0.658660, Class: 0.753231, Obj: 0.159261, No Obj: 0.000138, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 106 Avg IOU: 0.536527, Class: 0.825913, Obj: 0.029436, No Obj: 0.000028, .5R: 0.750000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: 0.498175, Class: 0.578684, Obj: 0.348962, No Obj: 0.000177, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.575876, Class: 0.441114, Obj: 0.273414, No Obj: 0.000137, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.663822, Class: 0.953373, Obj: 0.061311, No Obj: 0.000033, .5R: 1.000000, .75R: 0.200000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000081, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.636171, Class: 0.710065, Obj: 0.131161, No Obj: 0.000116, .5R: 1.000000, .75R: 0.200000,  count: 5
Region 106 Avg IOU: 0.535294, Class: 0.826523, Obj: 0.037677, No Obj: 0.000032, .5R: 0.500000, .75R: 0.000000,  count: 4
3006: 0.772240, 0.722092 avg, 0.000010 rate, 9.458289 seconds, 192384 images
Loaded: 0.000059 seconds
Region 82 Avg IOU: 0.564770, Class: 0.948818, Obj: 0.006640, No Obj: 0.000204, .5R: 0.666667, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.599089, Class: 0.522852, Obj: 0.363965, No Obj: 0.000196, .5R: 0.750000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.660395, Class: 0.747658, Obj: 0.021109, No Obj: 0.000032, .5R: 1.000000, .75R: 0.166667,  count: 6
Region 82 Avg IOU: 0.747915, Class: 0.990879, Obj: 0.088378, No Obj: 0.000100, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.714793, Class: 0.948210, Obj: 0.271257, No Obj: 0.000156, .5R: 1.000000, .75R: 0.666667,  count: 3
Region 106 Avg IOU: 0.623019, Class: 0.677583, Obj: 0.060947, No Obj: 0.000022, .5R: 0.750000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: 0.703287, Class: 0.514463, Obj: 0.003709, No Obj: 0.000101, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.668926, Class: 0.816670, Obj: 0.122206, No Obj: 0.000172, .5R: 1.000000, .75R: 0.166667,  count: 6
Region 106 Avg IOU: 0.806217, Class: 0.601810, Obj: 0.118200, No Obj: 0.000019, .5R: 1.000000, .75R: 1.000000,  count: 2
Region 82 Avg IOU: 0.669856, Class: 0.090325, Obj: 0.091745, No Obj: 0.000155, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.725092, Class: 0.924374, Obj: 0.177369, No Obj: 0.000183, .5R: 1.000000, .75R: 0.333333,  count: 6
Region 106 Avg IOU: 0.625454, Class: 0.797208, Obj: 0.272439, No Obj: 0.000026, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.755970, Class: 0.989357, Obj: 0.319813, No Obj: 0.000181, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.616269, Class: 0.986777, Obj: 0.572028, No Obj: 0.000206, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.616680, Class: 0.817350, Obj: 0.032622, No Obj: 0.000032, .5R: 1.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: 0.534795, Class: 0.794882, Obj: 0.009628, No Obj: 0.000119, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.711560, Class: 0.793712, Obj: 0.006028, No Obj: 0.000101, .5R: 1.000000, .75R: 0.500000,  count: 4
Region 106 Avg IOU: 0.668005, Class: 0.948082, Obj: 0.089825, No Obj: 0.000026, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.649650, Class: 0.913678, Obj: 0.005284, No Obj: 0.000206, .5R: 0.666667, .75R: 0.333333,  count: 3
Region 94 Avg IOU: 0.673970, Class: 0.776423, Obj: 0.121914, No Obj: 0.000182, .5R: 0.800000, .75R: 0.400000,  count: 5
